序号,特征1,特征2,判别器预测
0.0,0.690643044420317,-1.0127657169517583,0.48271533846855164
1.0,-0.567952836913991,-0.25155540158137646,0.5425469279289246
2.0,-0.7138086721365221,0.11967943442008266,0.5425752401351929
3.0,0.6456402642707797,0.059839029608926,0.524246096611023
4.0,1.5332888733090568,0.15883065956330752,0.4848908483982086
5.0,-0.5906370772277723,0.15004726805296514,0.5421810746192932
6.0,0.1637919782101353,0.49552059008915883,0.5195984244346619
7.0,-0.3671450639235677,0.5711217228388947,0.5227459073066711
8.0,0.4017240941244529,-0.7397012976919405,0.5114730596542358
9.0,-0.35106234975466133,0.15335839207515134,0.5397913455963135
10.0,-0.6715143836587256,0.16228844243339097,0.5422300696372986
11.0,-0.8203002374444361,0.4973065302864717,0.5304139256477356
12.0,0.29429910041081087,-1.4624630901576254,0.4787505567073822
13.0,-0.025506225561545626,-0.5889024371936916,0.5385394096374512
14.0,-0.388467502145172,0.32886174261386886,0.5331934690475464
15.0,-0.22330869554520683,1.1889596970820464,0.4820886254310608
16.0,-0.022850016727213825,-1.9182412826253032,0.4669317305088043
17.0,0.5415904679842215,-0.7464960191972511,0.5041563510894775
18.0,0.5110071133768158,-0.22581451346815326,0.5315677523612976
19.0,-0.08385690114773664,-1.3316203817398886,0.5039169192314148
20.0,1.2164831855389011,2.1222498005801134,0.4068250060081482
21.0,0.46302480877157615,-0.8133750862971559,0.5045422315597534
22.0,0.6256799097125023,-0.7037955512247921,0.5023022890090942
23.0,0.4238134270231667,-0.7140052388781932,0.5117670297622681
24.0,0.9538384744240054,-1.0593304194070723,0.46720385551452637
25.0,1.6009246501393355,-1.1159162923867867,0.4322870373725891
26.0,-0.10255009217187223,0.5639209756439371,0.5203918218612671
27.0,-1.0165015463696556,-0.6129582098192081,0.5372849702835083
28.0,0.15595852193907012,-1.1587085644276347,0.5016277432441711
29.0,-1.713745768939938,-0.08279222933921367,0.5268027782440186
30.0,-0.08570691332470484,0.2562439091539111,0.5325300097465515
31.0,0.63999386066923,0.7294826295264741,0.50312739610672
32.0,-0.8749002671316756,-0.7084156144122498,0.5393264293670654
33.0,-1.6935777967451353,-0.5926683422393925,0.5205075144767761
34.0,-0.5970615990203226,1.7151086175224148,0.43202584981918335
35.0,0.8739099841755388,0.9159453244823629,0.49120038747787476
36.0,-0.7258770982091108,0.3565302920014589,0.5354071855545044
37.0,-1.2757045797147784,-1.2325858584342204,0.5193725824356079
38.0,-0.049724475218111984,-0.8676592932392869,0.5252825617790222
39.0,-0.2589539503065956,-0.5221906960727086,0.5412502884864807
40.0,0.2552141302861197,-0.6725191744789748,0.5223836898803711
41.0,-2.026471287333302,-0.30401251357647385,0.5152302384376526
42.0,0.0014644856350832089,0.5478180082897203,0.5198659300804138
43.0,0.8329184781765009,0.5758154503477146,0.5035836696624756
44.0,-0.15348182689744555,-1.7486664552903155,0.4828396141529083
45.0,0.6590094830859442,0.007809946242354623,0.5250495672225952
46.0,-2.210227899290144,-0.08174719428741918,0.51316237449646
47.0,-0.13803735329237662,1.420424793742938,0.4620605707168579
48.0,0.7977722106820849,0.1342029465036804,0.5164209008216858
49.0,0.4128074250568085,0.6921445360135132,0.5090535283088684
50.0,-0.8478730631686137,0.5878839350206718,0.5268648862838745
51.0,0.060683613665020446,0.42439336274183365,0.5238900780677795
52.0,2.752170184865297,-1.3908027814633581,0.3634137213230133
53.0,-1.125341060661442,0.13173220355435192,0.5426533818244934
54.0,0.8398494074245048,0.733931859432675,0.49812132120132446
55.0,-0.8483129201227575,0.4425950420349114,0.5330911874771118
56.0,0.44208710231724546,0.16606069879771898,0.5276746153831482
57.0,0.6233795630631294,-0.4459183070792691,0.5164490342140198
58.0,2.243440231337866,2.1568031249060495,0.40336036682128906
59.0,-0.2281153223945432,0.3082926502352762,0.5322328209877014
60.0,0.27274486135487214,-0.8406277221866312,0.5125732421875
61.0,0.07440086544650215,-0.38754017405014196,0.5401431918144226
62.0,-1.4894958203035067,-0.23728391127178125,0.5308178663253784
63.0,1.3071581822013718,-0.28436514461499424,0.49082261323928833
64.0,0.2844668411261423,-0.6149295053752738,0.5240628123283386
65.0,0.014144818698457769,-0.3301417583350294,0.5404365658760071
66.0,-0.4026113066364268,1.2024853483439832,0.4792904853820801
67.0,0.526107999903191,1.7525961725364299,0.4367610812187195
68.0,-0.648374439964849,-0.04262804347477955,0.5427029728889465
69.0,0.0787760820574109,-2.440614529715012,0.42552411556243896
70.0,0.9000304979032846,-0.12496086158955069,0.5176714658737183
71.0,0.655952514914033,-0.5168648472494832,0.5109736919403076
72.0,-0.15309005150310936,0.5445286696708591,0.5217199921607971
73.0,-0.2657328436814855,0.27235659218945046,0.5340985655784607
74.0,-2.6966901638904655,-1.117991705591115,0.4850625693798065
75.0,0.1911815576427464,-0.4880933234575142,0.5355072617530823
76.0,1.1633505371691548,0.4786949377374764,0.4944092333316803
77.0,0.3541325330706855,-2.457949773056962,0.4161668121814728
78.0,0.8315807193287494,-0.1959145668710575,0.5196613073348999
79.0,-0.27431633348722473,0.6729474110367318,0.5175208449363708
80.0,-0.6173280831102758,-1.0013327334927216,0.5351722836494446
81.0,0.6553808281626851,0.9766279552321971,0.49447888135910034
82.0,1.0147679924947515,1.470540533335353,0.46128904819488525
83.0,0.8501268779286894,0.9319239362177636,0.4912433922290802
84.0,0.9138901175043369,0.2086515763045589,0.5099913477897644
85.0,0.46629378440002645,0.7815129591640233,0.5050992369651794
86.0,-0.23638808494224303,-0.5309487379971024,0.5411821603775024
87.0,0.16157414070354836,-0.36312460674542274,0.5392327904701233
88.0,1.2462510594156522,-0.7449879841548053,0.46921348571777344
89.0,-0.08323028714076813,-1.3217626380829106,0.5043719410896301
90.0,1.9354599953626632,0.4224523105930089,0.4664645791053772
91.0,0.8595921135367938,1.5639964611482107,0.45406413078308105
92.0,0.8172687692697999,1.6428879964843603,0.4474250376224518
93.0,2.2411096996460027,-1.058143460253484,0.4040934443473816
94.0,0.22199468088782268,0.14110253934858558,0.532730758190155
95.0,-2.3856446724713685,-0.0344982598675079,0.5089682340621948
96.0,-0.22848902960541279,2.108474138712032,0.4008110463619232
97.0,-0.8104285787630716,1.0027759871372275,0.4935395121574402
98.0,-1.3573044799954415,1.287658328549329,0.46341946721076965
99.0,0.9212054896653583,0.8965589407997436,0.4907001852989197
100.0,-0.6434398772966304,-0.7403678241231498,0.5436485409736633
101.0,-1.1599394797400424,1.1592405668311632,0.47641658782958984
102.0,-0.5036786742472718,-1.3148953003850785,0.5162400603294373
103.0,-0.1804171655894658,0.03805661751558748,0.5410342812538147
104.0,1.8469792723059981,1.7309299222468628,0.4348433315753937
105.0,1.6074151990598275,0.35392561586374416,0.48035383224487305
106.0,0.7022097860134252,0.39103225881139425,0.5129442811012268
107.0,-2.2623760896908087,1.924932995543262,0.39448684453964233
108.0,0.4064790163741811,0.3871117912373307,0.5203384160995483
